Name,Tagline,Description,Category,YouTube link,Founded in,Name of the Founders,Special Features,Pricing Plans,Wesbiste Link,Logo
PocketPod,AI generated podcasts tailored to your interests,"PocketPod creates AI generated podcasts tailored to your interests. Whether it's a daily news update or a deep dive on a specific topic, we allow people to consume information in a familiar podcast format. ",Multimedia Generation,https://www.youtube.com/watch?v=lyGZMiLgk9Q&t=2s,2023,"Ross Cefalu, Davis Palmie","New episode every morning, All the stories in one place, RSS feed available",Contact Us,https://pocketpod.app,https://bookface-images.s3.amazonaws.com/small_logos/0612cd97da14553a006a76f68c9cb26fb2404704.png
Opencall Ai,AI call centers for any business,"Opencall lets businesses answer the phone automatically. Our AIs answer questions, book appointments, and integrate with existing software.",AI Agents,https://www.youtube.com/watch?v=2nI7yFp7iwc,2022,"Oliver Silverstein, Nicholas Lee, Eric Mei, Arthur Silverstein","Answer questions, Book appointments, and Integrate with existing software",Contact Us,https://opencall.ai,https://bookface-images.s3.amazonaws.com/small_logos/41e58d6b3e2399554a397da9ec33195fe091ac9e.png
PandasAI,PandasAI is an open-source conversational data analysis platform with…,"PandasAI is an open-source library for conversational data analysis. Enterprises can connect their dataframes, databases or datalakes and do data analysis in plain english.",AI-powered Analytics,https://www.youtube.com/watch?v=k-wVnGkBI7E,2023,Gabriele Venturi,"Visualize data, Ask complex queries, Extract valuable insights",Free to €29/month,https://pandas-ai.com,https://bookface-images.s3.amazonaws.com/small_logos/6eea04f473e3424dc0c2177031cb6829296ee867.png
Kater Ai,The first diagnostic analytics platform,Kater makes it possible for executives to understand why business outcomes occur in a couple seconds. ,AI-powered Analytics,https://www.youtube.com/watch?v=hiF-F0W61Dw,2023,"Yvonne Chou, Robin Seitz","Generate hypotheses, Writes the queries to validate those hypotheses, and finds any insights from the queries.",Contact Us,https://www.kater.ai,https://bookface-images.s3.amazonaws.com/small_logos/63fad7eb7b1de3738cfe2f3304a5b0b48aecb474.png
Pretzel AI,Open-source & AI-native replacement for Jupyter Notebooks,"Pretzel fixes Jupyter's problems with native AI-tooling, collaboration, modern code-editing features, native SQL support and a visual, AI-assisted data exploration and dashboarding suite.",AI-powered Analytics,https://tella.video/demo-ai-codegen-in-pretzel-1-9wax,2024,"Prasoon Shukla, Ramon Garate","AI-Powered, Reproducibility, Collaboration, IDE-like Experience, Polyglot, Open-Source",Contact Us,https://withpretzel.com,https://bookface-images.s3.amazonaws.com/small_logos/1cf7e56ca345b5a9b329ec635ac2f39ef918b613.png
Upsolve AI,"Customer-facing analytics as a service, powered by AI.",We are building a full data stack that enables businesses to build and offer analytics to their customers at lightning speed and gives their customers the superpower to answer any data questions via AI.,AI-powered Analytics,https://www.youtube.com/watch?v=Vobh2hw_Pgk,2023,"Ka Ling Wu, Serguei Balanovich","Seamless connections, Effortless Visualizations, Guided Action",Contact Us,https://upsolve.ai,https://bookface-images.s3.amazonaws.com/small_logos/584af51898d885eead8c1806789fece6d7acaff0.png
Quary,The first in-browser analytics engineering platform,Quary is the first analytics engineering platform that brings the entire model-test-deploy workflow into the browser. ,AI-powered Analytics,https://www.youtube.com/watch?v=MD6In-iUd9g&t=3s,2023,"Benjamin King, Louis Jordan","Connect to your data warehouse, Organise your Business Intelligence as SQL, Collaborate securely, Deploy models",Free,https://www.quary.dev,https://bookface-images.s3.amazonaws.com/small_logos/e54d14cc55231dd1bd8f1cfd85b8f8366f88fae7.png
Octolane AI,Building AI-first Salesforce,"Building AI-first Salesforce. Our CRM does a lot more than just storing customer data. It uses AI to find the best customers, reach out to them and close them.",AI-powered Analytics,https://www.octolane.com/assets/images/screenshot1.jpg,2024,"One Chowdhury, Md Abdul Halim Rafi","Company Enrichment, Email Sending, Real-time Email & Calendar Sync, Lead Identify, PostHog, Segment & Slack Integrations",$1000/month,https://www.octolane.com,https://bookface-images.s3.amazonaws.com/small_logos/a1549de8fd9953675de16d8b1fa448b4b2c204b6.png
Focal,AI video creation tool for TV shows and movies,"Focal is an AI video creation tool that allows anyone to create and share TV episodes and movies. We combine existing video, audio, and language models to make this process simple and straightforward.",Multimedia Generation,https://youtu.be/GFaN96OMlb0,2023,"Robert Cunningham, Felix Wang","Adapt books into screenplays, Generating video and audio clips, Keeping characters consistent, Lip-syncing characters",Contact Us,https://focalml.com,https://bookface-images.s3.amazonaws.com/small_logos/9ec08eef8dbe4db1ca30529a97bf9fde4e2b61aa.png
ego,AI-native 3D simulation engine,"We’re building the first generative ai-powered simulation engine, where non-technical creators can generate realistic characters powered by LLMs, 3D worlds, and interaction code/scripts with just prompts.",Multimedia Generation,https://www.youtube.com/watch?v=bLpG4LrLf60&t=44s,2023,"Vishnu Hari, Peggy Wang","Character personalities, Conversations, Memories, and Routines/movements in games",Contact Us,https://www.ego.live,https://bookface-images.s3.amazonaws.com/small_logos/ccbeabe74e35bc254e82e981b4fca69945e24730.png
Eggnog,Youtube for AI-generated content,Eggnog is the Youtube for AI-generated content. The initial product is the only AI video platform on the market that generates consistent characters.,Multimedia Generation,https://www.youtube.com/watch?v=WnAzSG9PFO8,2024,"Jitesh Maiyuran, Sam Plank","Create Characters, Storyboard, Generate videos",Contact Us,https://www.eggnog.ai,https://bookface-images.s3.amazonaws.com/small_logos/b8db4ae69ffa9fe27a2e056c7825fa07368367d7.png
CodeAnt AI,AI to auto-fix bad code & security vulnerabilities.,"CodeAnt AI is a DevTool that helps companies find and auto-fix code issues and security vulnerabilities. We're like SonarSource or Veracode, but we don't just detect bad code; we auto-fix it.",Code Assistants,https://www.youtube.com/watch?v=Znq7n98rHGo,2023,"Amartya Jha, Chinmay Bharti","Pull Request Reviewer, Code Health Dashboard, Shift Left Instantly",$19-39/user/month,https://www.codeant.ai,https://bookface-images.s3.amazonaws.com/small_logos/9efd3b7815df44b6aca06023be3c607e3a345ee5.png
Ellipsis ,"Convert technical instructions into working, tested code","With Ellipsis, teams get a deep LLM-powered code review on every commit. When a developer wants to make a change, they simply tag us, and Ellipsis submits the fix.",Code Assistants,https://www.loom.com/share/3c03d542f5d04df19946c770f8db3661?sid=19d6c83d-7f6e-4a08-bcf1-de4bd877d3b2,2023,"Hunter Brooks, Nick Bradford","Automated Code Review, Pull-requests-as-a-service, Address PR comments",Contact Us,https://www.ellipsis.dev,https://bookface-images.s3.amazonaws.com/small_logos/825caa6d8502745ed1854595552f4f7f1091bb3e.png
Decipher AI,Helping engineers understand and fix production bugs,"Decipher AI lets engineers identify and resolve production issues by analyzing runtime data and product behavior with AI. Companies use us to monitor their application and to quickly understand what went wrong, the user impact, and how to fix it.",Code Assistants,https://www.youtube.com/watch?v=mqzt1JrbxQM&list=TLGGQGFWJR0gNm8yMDA0MjAyNA,2023,"Michael Rosenfield, Rohan Das","All the context in one place, AI powered user impact summaries, AI fast debugging",Contact Us,https://getdecipher.com,https://bookface-images.s3.amazonaws.com/small_logos/29585cd58ffa28775d545a62edb03b71fdea79f2.png
Keywords AI,Unified DevOps platform to build software with AI.,The only platform you need to launch and optimize your LLM application. Integration is dead simple - everything comes with 2 lines of code,Code Assistants,https://keywordsai.co/images/Dashboard.png,2023,"Andy Li, Raymond Huang","Infrastructure and Deployment, Model Playground, Prompt Management, Request Logging, Performance Evaluations, Usage Dashboard and Analytics, Data Curation and Fine-Tuning",Free to $499/month,https://keywordsai.co/#/,https://bookface-images.s3.amazonaws.com/small_logos/3f60a49b454abcbf399c1110eb888b6aa3b0627f.png
ion design,Instantly converts designs into clean code,"ion design is building a new layer on the software development stack, automating front-end engineering through a design system and code generation.",Code Assistants,https://www.youtube.com/watch?v=81kUjZUXaxQ,2023,"Samraaj Bath, Samuel Barnholdt","Pixel-perfect code, Multifile components, Conditional logic and stub functions",Contact Us,https://www.ion.design,https://bookface-images.s3.amazonaws.com/small_logos/19ac79a5dd7e79b8d3e0a7794a401a7673116ee9.png
Kiosk ,AI powered WhatsApp Marketing platform,"In short, we blend AI agents and traditional marketing tools (Campaigns, Workflows) to generate personalised conversations at scale. Think of us like the MailChimp for WhatsApp, with a conversational AI twist",AI-led Marketing,https://www.ycombinator.com/media/?type=post&id=79125&key=user_uploads/1623166/395fe0bf-014b-4018-8a41-2b98c8c2dd5e,2023,"Paul Lafforgue, Thomas Sohet","Build automations in Kiosk, Send an interactive campaign",$100-500/month,https://www.kiosk.so,https://bookface-images.s3.amazonaws.com/small_logos/c7b8da61a468644beaadb1f98361270cd5fafb99.png
Zaymo,Interactive email builder for ecommerce brands,Recent changes in email clients made it possible to embed a whole website inside an email. We've built the first email builder that lets Shopify brands create emails that are fully interactive like websites. ,AI-led Marketing,https://www.youtube.com/watch?v=ToLPqStUMiY,2023,"Brice Douglas, Santiago Gomez Paz, Daniel Jones","In-email abandoned cart recovery, One-click subscription upsell, Campaigns, Review collection, Forms",Contact Us,https://zaymo.com,https://bookface-images.s3.amazonaws.com/small_logos/ffeb1af9c08c8389614114b183fb157758499ef6.png
1stCollab,Performance-Optimized Influencer Marketing,1stCollab is an AI-powered influencer marketing platform for helping brands optimize performance. ,AI-led Marketing,https://www.1stcollab.com/static/media/hero_clean.5f8e85cccf58ce4fef9f.png,2022,"Leon Lin, Varun Bansal, Carina Cater, Andrew Liu","Campaign launch, Real time metrics update, A custom shareable link",Contact Us,https://www.1stcollab.com,https://bookface-images.s3.amazonaws.com/small_logos/38bfe8c1abadf254cda7e353f68089f57109eaec.png
Penguin AI,AI-Powered Inbound Sales Platform,"Penguin AI is an inbound sales platform that identifies, engages, and converts leads visiting your website into demos.",AI-led Marketing,https://www.youtube.com/watch?v=jPCwcvVu3-A,2022,Rohan Doshi,"Lead Feed, Workflows, AI Chat",$499-999/month,https://www.penguinai.app,https://bookface-images.s3.amazonaws.com/small_logos/a179ed55776fa8b30a32019584bd1e644d3018a9.png
Plai,Run ads with AI,"Plai is the AI advertising tool built for marketing teams and agencies. Thousands of advertisers are using Plai to create Facebook Ads, Google Ads, and TikTok Ads from a ChatGPT prompt.",AI-led Marketing,https://www.youtube.com/watch?v=Uch3KC9YkHE&t=109s,2020,Logan Welbaum,"Automated ad improvements, Analytics supported for insights, Create ad templates with AI, AI Landing Page Builder ",Contact Us,https://www.plai.io,https://bookface-images.s3.amazonaws.com/small_logos/9e5edb26e5bdc44b210c50ed3cc68204303afbc9.png
Firebender,Find the best leads to sell to,"With Firebender, you can qualify any company using natural language over scraped websites, job listings, linkedin posts, and more.",AI-led Marketing,https://www.loom.com/share/971a9b1a0d13481daad45d439f7d0b71?sid=5494f882-da31-49f5-b0f9-0ccd3719673f,2023,"Aman Gottumukkala, Kevin Tang","Ask questions, Find deeper insights, Qualify leads.",$199-599/month,https://firebender.com,https://bookface-images.s3.amazonaws.com/small_logos/2e115e9ecb462ccede05b8f40b4dc09bb024f6b5.png
Quivr,Open Source Chat-Powered Second Brain,"Quivr is an AI open-source platform where enterprises connect to their tools, docs, APIs and databases to chat with them. ",AI Chatbots,https://www.youtube.com/watch?v=jvNYWiXvkds,2024,"Stan Girard, Antoine Dewez, Brian Laleye","Automatically write an email, Extract actionable information, Summarise",Free to $15/seat/month,https://www.quivr.app,https://bookface-images.s3.amazonaws.com/small_logos/55e2d5d59eda45392b5f80742e4d67462860257e.png
Danswer,Open Source AI Assistant and Enterprise Search,Danswer is the AI assistant that connects to all your company tools and docs and makes finding any piece of information a breeze.,AI Chatbots,https://www.danswer.ai/landing/demo.mp4,2023,"Yuhong Sun, Chris Weaver","Avoid model provider lock-in, Leverage your LLM's internal knowledge, AI responses that reference real sources, Built for Slack, Host anywhere, Create tailored personas",Free to $16/seat/month,https://www.danswer.ai,https://bookface-images.s3.amazonaws.com/small_logos/a6f88d118408e0d4b09770e0ebb02f3ff2d95a83.png
Zep AI,Long-Term Memory for AI Assistants,"Zep is the easiest way to add long-term memory to your AI Assistant. With Zep, you can recall, understand, and extract data from chat histories, enabling you to build rich, personalized experiences.",AI Chatbots,https://www.youtube.com/watch?v=qVspUE_R-iI,2023,Daniel Chalef,"Perpetual Memory, Dialog Classifier, Structured Data Extraction",Free to $285/month,https://www.getzep.com,https://bookface-images.s3.amazonaws.com/small_logos/01c6d0585e8c71ae2a60d4a67e5c15a449165704.png
Rex,Your personal AI fitness and nutrition coach,Rex.fit (formerly BabylonAI) is an AI fitness and nutrition coach. We use computer vision and AI to create interactive gamified workouts. We also offer a nutrition chatbot that simplifies food logging through natural language processing.,AI Chatbots,https://www.ycombinator.com/media/?type=post&id=75089&key=user_uploads/635063/c8de0795-3972-4ccd-8cab-6f18656d3efc,2023,"Rangel Milushev, Ahmad Roumie","Track calories, Get workout suggestions, Get daily reports and feedback",Free,https://www.rex.fit,https://bookface-images.s3.amazonaws.com/small_logos/1868ecd3b1ecd377ff3e39716f5202b3b4a837de.png
Sherloq,ChatGPT customized for any organization’s internal database,Sherloq is like ChatGPT and Co-pilot for any organization's internal database. Data teams use us as their single source of truth on top of their existing data stack.,AI Chatbots,https://www.sherloqdata.io/wp-content/uploads/2023/08/1.1.png,2022,"Noy Twerski, Alon Greenfield, Nadav Gutman","Ask Any Data Question, Copilot & Auto-Suggestions, Metrics & SQL Repository, Integrates with your existing data stack",Contact Us,https://www.sherloqdata.io/#,https://bookface-images.s3.amazonaws.com/small_logos/416d7b9190a2113a09b5de9e932713dbb12c2145.png
Inkeep,"Turn your docs into a ""ChatGPT""-like AI search and support copilot","Inkeep helps turn your docs, help center, and other content into an AI-powered search and chat copilot for you product. 100+ teams use Inkeep to improve user experience, deflect support questions, and identify gaps in their documentation.",AI Chatbots,https://www.ycombinator.com/media/?type=post&id=69837&key=user_uploads/1161457/41100239-1ce3-4e5a-8349-4294e24a237d,2023,"Nick Gomez, Robert Tran","Search bar for your docs, Chat widget for your app or landing page, Slack or Discord bot for your community",$120-299/month,https://inkeep.com,https://bookface-images.s3.amazonaws.com/small_logos/72bfb13e14b0f43d68d0a7055eec27310d54f3c0.png
